,open,high,low,close,volume
2015-09-14,655.63,655.92,649.501,652.47,1497627.0
2015-09-15,656.71,668.85,653.34,665.07,1777320.0
2015-09-16,665.55,668.0699,662.2,665.52,1312598.0
2015-09-17,667.49,681.99,665.0,671.67,2387605.0
2015-09-18,665.06,669.84,660.03,660.92,3627210.0
2015-09-21,665.51,669.0,658.0,666.98,1954667.0
2015-09-22,657.47,658.82,645.03,653.2,2718081.0
2015-09-23,652.9,660.28,650.7301,653.29,1457995.0
2015-09-24,648.97,656.7699,642.165,654.91,1934639.0
2015-09-25,658.58,658.58,639.655,640.15,2423992.0
2015-09-28,639.05,642.85,617.84,624.25,2361393.0
2015-09-29,625.5,634.68,618.03,622.61,2106466.0
2015-09-30,631.83,639.31,629.15,637.2,2549938.0
2015-10-01,637.94,643.84,631.115,642.0,2125315.0
2015-10-02,638.01,658.2555,633.5,656.99,2439435.0
2015-10-05,661.6,673.0275,655.87,671.68,1898012.0
2015-10-06,669.35,678.8,663.0823,671.64,2157409.0
2015-10-07,677.4,678.74,658.11,670.0,2217672.0
2015-10-08,669.45,671.89,654.49,667.0,1965397.0
2015-10-09,667.49,674.085,662.36,671.24,1606178.0
2015-10-12,669.19,677.98,667.24,676.43,1334225.0
2015-10-13,674.26,688.46,673.108,683.17,2122338.0
2015-10-14,683.73,690.04,678.9,680.41,1564582.0
2015-10-15,685.25,694.16,684.39,693.02,2357829.0
2015-10-16,695.4,696.22,689.1,695.32,1815759.0
2015-10-19,694.0,700.2397,692.21,699.95,1508585.0
2015-10-20,697.89,698.0,673.68,680.0,2621719.0
2015-10-21,683.21,684.9,670.7,671.8,1608436.0
2015-10-22,675.44,688.0499,671.7,681.14,4431595.0
2015-10-23,750.06,752.5,717.94,719.33,6336319.0
2015-10-26,720.02,734.95,720.02,731.12,2438847.0
2015-10-27,726.57,735.9642,724.135,732.82,1938916.0
2015-10-28,733.0,737.37,727.27,736.92,1980154.0
2015-10-29,736.63,746.79,735.16,744.85,1825957.0
2015-10-30,745.56,746.31,736.53,737.39,1999161.0
2015-11-02,737.88,748.18,731.45,747.74,1995708.0
2015-11-03,745.43,751.698,741.16,748.82,1815300.0
2015-11-04,749.9,759.9,749.2,755.31,2091999.0
2015-11-05,758.81,766.35,757.47,760.67,2274314.0
2015-11-06,759.39,763.022,755.03,761.6,1677199.0
2015-11-09,758.52,763.3,749.11,754.77,1776861.0
2015-11-10,753.48,760.6,748.41,758.26,1489929.0
2015-11-11,762.38,769.08,759.75,765.25,2095922.0
2015-11-12,760.18,765.799,755.86,756.53,1772555.0
2015-11-13,754.04,755.33,739.47,740.07,2409363.0
2015-11-16,740.21,751.71,734.33,750.42,2535198.0
2015-11-17,752.47,754.95,744.05,745.98,1939934.0
2015-11-18,749.57,761.1,747.39,760.01,1813336.0
2015-11-19,759.78,763.23,757.23,759.94,1403913.0
2015-11-20,769.3,779.318,764.1,777.0,2773944.0
2015-11-23,777.47,782.9,773.51,776.7,1732400.0
2015-11-24,772.96,775.99,758.11,769.63,2394010.0
2015-11-25,771.69,773.0,766.53,769.26,1180643.0
2015-11-27,769.16,774.0,767.0001,771.97,722320.0
2015-11-30,771.87,775.03,761.12,762.85,1679349.0
2015-12-01,766.94,785.0,765.95,783.79,2019864.0
2015-12-02,785.25,793.0475,776.43,777.85,2343841.0
2015-12-03,780.56,784.48,762.45,768.2,2097494.0
2015-12-04,769.71,782.42,765.51,779.21,2489998.0
2015-12-07,780.06,781.0,766.72,772.99,1831287.0
2015-12-08,764.5,778.65,762.52,775.14,1554121.0
2015-12-09,771.1,776.0926,752.0066,762.55,2327471.0
2015-12-10,763.59,766.0655,755.0,760.04,1622940.0
2015-12-11,749.0,757.44,748.65,750.42,2159164.0
2015-12-14,751.26,764.15,736.26,762.54,2708520.0
2015-12-15,767.79,774.75,758.0,760.09,2469319.0
2015-12-16,766.57,781.5,757.045,776.59,2656010.0
2015-12-17,781.16,781.59,769.3,769.83,1825538.0
